iden,year,name,profit,cumprofit,income,yield,cost,Ncost,disease,diseaseImpact,weedpenalty,newN,newseedbank
0.25,0,wheat,-111.14392448359925,-111.14392448359925,478.75607551640076,1.3678745014754308,350.0,239.9,0.31184589762188619,0.051197394406101,0.10256410256410253,0.0,104.39681360946746
0.45,1,wheat,-4.2316322705952247,-115.37555675419448,585.54565024147871,1.6729875721185106,350.0,240.0,0.4125917102218678,0.10396742269638407,0.10639913528042677,0.0,257.64129690788326
0.75,2,sprayed pasture,-207.57499999999999,-322.95055675419445,0.0,2.3420722060213213,230.0,0.0,0.36353933266636196,0.0,0.2193092646595597,58.551805150533035,138.5898905844495
0.1,3,wheat,-128.70763955358103,-451.65819630777548,322.77813391403112,0.92222323975437459,350.0,122.89638969893393,0.1,0.034910320214635651,0.10879305136627704,0.0,228.2262925369116
0.8,4,wheat,46.519309246466662,-405.13888706130882,647.11350802583365,1.8488957372166677,350.0,240.0,0.18345162447056076,0.050378609320571865,0.11500819007560992,0.0,712.8325798200642
0.25,5,sprayed pasture,-177.96961562499996,-583.10850268630884,0.0,1.640244731205011,230.0,0.0,0.292009997043363,0.0,0.25123914843123496,41.006118280125278,295.8330071135978
0.35,6,wheat,31.870492684228029,-551.23801000208084,551.34355758016727,1.5752673073719063,350.0,157.98776343974944,0.1,0.038462704384729103,0.11963880395811444,0.0,666.6410264755681
0.95,7,wheat,17.390342094515024,-533.84766790756578,614.90249653253579,1.7568642758072452,350.0,240.0,0.23960076074900291,0.066868759789455959,0.14419897608262344,0.0,2380.4527646720408
0.3,8,sprayed pasture,-152.58669919648432,-686.43436710405012,0.0,1.5437845197115054,230.0,0.0,0.41028096054473945,0.0,0.34881178705530114,38.594612992787638,946.3431546797054
0.25,9,wheat,-33.956942274221532,-720.39130937827167,458.932195549656,1.3112348444275885,350.0,162.81077401442474,0.1,0.026165939659317187,0.1618368299767261,0.0,1857.9027198363697
