iden,year,name,profit,cumprofit,income,yield,cost,Ncost,disease,diseaseImpact,weedpenalty,newN,newseedbank
,0,wheat,152.15385169049199,152.15385169049199,508.15385169049199,1.8820513025573777,345.0,11.0,0.030668297854266745,0.15101162222680273,0.06856456587602688,0.0,6.95075470153124
,1,Lupin,-126.33229725542833,25.821554435063661,182.01863446797017,0.75841097694987569,315.0,0.0,0.15101162222680273,0.00042199326308598042,0.24126884361363576,26.544384193245648,9.426347744040731
,2,wheat,142.03902150731301,167.86057594237667,561.18513473625308,2.0784634619861224,345.0,58.801177387429789,0.0042420219757256326,0.061270314754362842,0.06969600583590352,0.0,32.72261093486815
,3,wheat,35.457674595767564,203.31825053814424,474.3560864216563,1.7568743941542826,345.0,88.0,0.061270314754362842,0.20349109749169006,0.07322753552711458,0.0,113.18685987522028
,4,GM,-149.05464374999997,54.263606788144273,0.0,2.7543304733742189,150.0,33.0,0.20349109749169006,0.33574637022806192,0.10827866418684162,55.086609467484379,27.961212215101803
,5,canola,-72.394797153259873,-18.1311903651156,247.84492002628204,0.49568984005256406,325.0,16.404729585767186,0.25203784390212286,0.00058073138214893264,0.17337021672249164,0.0,28.70581323656639
,6,wheat,88.613101927155924,70.481911562040324,553.54697250409617,2.0501739722373933,345.0,88.0,0.0058293323450506265,0.071127119154226301,0.07262053489008147,0.0,99.35410937213844
,7,Lupin,-93.522870192098324,-23.040958630058,181.07779547901569,0.75449081449589872,315.0,0.0,0.071127119154226301,0.00027691960162937326,0.24530019433456673,26.407178507356456,134.12991068999352
,8,GM,-102.13497099597296,-125.17592962603096,0.0,3.918987776675809,150.0,3.9521036419078994,0.0027873534998892266,0.050214338458386215,0.11264919615136126,78.379755533516175,33.10397514393691
,9,wheat,97.43417145293482,-27.741758173096144,501.37848106271474,1.8569573372693138,345.0,1.782268913132208,0.034046092984358227,0.15806447508595428,0.07328512429393419,0.0,114.49928719895067
,10,Lupin,-80.295475576040261,-108.0372337491364,180.89189623379531,0.75371623430748047,315.0,0.0,0.15806447508595428,0.00043353474448251249,0.24595686179326826,26.380068200761816,154.46161262749393
,11,wheat,81.760735602074291,-26.276498147062114,547.7244044763969,2.0286089054681367,345.0,58.981924979162009,0.004357585469749097,0.062051228117768781,0.0912545455341488,0.0,524.4880618299392
,12,wheat,3.0045884410305543,-23.271909706031558,438.56034486933908,1.6242975735901448,345.0,88.0,0.062051228117768781,0.20458710561168153,0.1419827652887966,0.0,1687.3848086749567
,13,GM,-93.941601240149367,-117.21351094618092,0.0,2.0078607698657951,150.0,33.0,0.20458710561168153,0.33649931843520031,0.34921240170160806,40.157215397315902,395.4002552932911
,14,GM,-73.151246867329419,-190.36475781351032,0.0,2.4587450519309924,150.0,0.0,0.25267447518542241,0.36767608664828927,0.1637792504847979,49.174901038619851,96.52050281284852
,15,canola,-46.687444785828433,-237.05220259933876,247.13418223830593,0.49426836447661188,325.0,22.907608857518166,0.27935474413567224,0.0006228467292871897,0.175705983706961,0.0,98.86537348079617
,16,wheat,49.69114397973344,-187.36105861960533,545.90191555979038,2.0218589465177423,345.0,88.0,0.0062497023892420286,0.073476344932433185,0.08310968520085338,0.0,338.5377460404842
,17,GM,-76.51602134510938,-263.87707996471471,0.0,3.0725524083667026,150.0,33.0,0.073476344932433185,0.21973042237859125,0.15315939805980172,61.451048167334051,82.8295276856213
,18,canola,-34.590731505858415,-298.46781147057311,247.3205524355109,0.49464110487102181,325.0,9.4038470159325449,0.15806411302502274,0.00043353415499548044,0.17524059717751972,0.0,84.88033732718537
,19,wheat,45.615371534854766,-252.85243993571834,553.88230038982272,2.0514159273697139,345.0,88.0,0.004357579567901706,0.062051188532067758,0.08103784050600982,0.0,291.2681750303377
