"","meaninc","diseaseImpact"
"1910",18.9537158618059,0.21013
"1911",1.64328945792726,0.19228
"1912",11.2898038022606,0.16908
"1915",9.32314483099734,0.21275
"1916",7.93116551296355,0.25822
"1917",3.36288756751388,0.27827
"1918",2.73163409575772,0.18536
"1919",6.46368765918812,0.16778
"1920",8.01007400408891,0.19771
"1921",0.427543175663907,0.28513
"1922",4.37891072264954,0.2239
"1923",4.73982398001722,0.2761
"1924",0.146284781342476,0.3159
"1925",9.32314483099734,0.16379
"1926",27.9774827739775,0.16082
"1927",9.32314483099734,0.1727
"1928",1.40719730600091,0.20186
"1929",13.1405122984245,0.14713
"1930",2.1256975344085,0.20032
"1931",19.0163664407497,0.16058
"1932",3.07621516867017,0.22865
"1933",1.63247945973923,0.21797
"1934",11.2155364490217,0.16798
"1935",15.7556652656237,0.15554
"1936",1.45921701387808,0.21874
"1937",1.63787554059283,0.22497
"1938",0.233727353249749,0.23698
"1939",1.91899190754501,0.25155
"1940",5.93222883561035,0.16323
"1941",0.36251116687118,0.29996
"1942",7.15992853659315,0.22812
"1943",2.22620869093037,0.1941
"1944",14.8961084353096,0.1356
"1945",2.49877347128759,0.22664
"1946",0.242367526583728,0.31206
"1947",1.12434427606036,0.26181
"1948",11.5918237447669,0.19319
"1949",1.75540570299512,0.19899
"1950",9.82863437208467,0.14478
"1951",9.38488109244222,0.22345
"1952",1.76702969762209,0.27656
"1953",11.9412644178491,0.18425
"1954",4.94758708421445,0.17882
"1955",0.510941590304285,0.30865
"1956",9.89371789832399,0.21395
"1957",37.1587769379081,0.08872
"1958",27.9774827739775,0.16544
"1960",0.846538158886719,0.28189
"1961",13.1839476178688,0.18071
"1962",17.2239352368128,0.15725
"1963",3.13773122828347,0.2354
"1964",8.84365276488724,0.20368
"1965",17.978920710193,0.11001
"1966",5.95183752731429,0.19399
"1968",3.78709789930665,0.25076
"1969",0.459737318199982,0.25781
"1970",9.92642109798975,0.15771
"1971",19.1422895484134,0.19714
"1972",4.19502793913212,0.16257
"1973",0.829941551956972,0.28234
"1974",0.502580225025428,0.30407
"1975",23.6437781502844,0.1625
"1976",10.4992098295168,0.13325
"1977",11.7071527364007,0.13283
"1978",9.57255356432462,0.19363
"1979",3.44147445433492,0.2316
"1980",16.0707363482965,0.15611
"1981",11.3271216954659,0.17908
"1982",14.3177496236955,0.12081
"1983",25.7619861407202,0.18469
"1984",13.7165070267883,0.16046
"1985",31.7153249191163,0.15796
"1986",11.2898038022606,0.19485
"1987",3.61611411361233,0.2085
"1988",11.0319984501034,0.19574
"1989",19.589623249596,0.16169
"1990",12.9681973169691,0.15972
"1991",11.980735682194,0.17175
"1992",22.6509093720618,0.24664
"1993",0.201472980177225,0.26914
"1994",3.27526898978541,0.15966
"1995",6.46368765918812,0.1961
"1996",9.86112244134391,0.19195
"1997",7.67370845627496,0.18138
"1998",2.96655100431379,0.20235
"1999",16.9420720712627,0.17082
"2000",0.288690528576203,0.29882
"2001",12.341900278291,0.19596
"2002",6.81414092016415,0.14853
"2003",1.71532059670223,0.24056
"2004",8.08976756897947,0.19075
"2005",1.64328945792726,0.24475
"2006",1.93169914188089,0.18449
"2007",1.90636826480006,0.21952
"2008",17.5104877251187,0.15565
"2009",2.14684645441968,0.21262
"2010",14.7493645425978,0.21243
"2011",0.0416064531478071,0.32556
